Ticket type,Ticket no,User name,Issued,Order,Order #,Ticket id,Avatar filename,QR profile filename,QR feedback filename,Name,Twitter,Serial code,Sponsor logo,checked_in,Ticket url,インボイス対応について,参加のためには別途チケットをご購入ください,応援団の Web サイト表示について,返金対応はいたしかねます,その他コメント欄
"ラーメンを応援します","V-38","chiroruxx","2024/06/24 19:49","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-38.png","qr-feedback-ラーメンを応援します-V-38.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/Y2kHtSCr0NzZRP8A0jRuvQ6TMOluaONg","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","塩ラーメンが好きです"
"ラーメンを応援します","V-39","mokomoka","2024/06/25 0:56","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-39.png","qr-feedback-ラーメンを応援します-V-39.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/Zx5GXqaC20nln3bsVzbwNJ6zn7cYy05S","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","当日参加が叶わないため、微力ではございますがこちらでお力添えできればと思っております。頑張ってください！"
"ラーメンを応援します","V-40","asumikam","2024/06/26 23:20","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-40.png","qr-feedback-ラーメンを応援します-V-40.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/52Go1ngC9xrzl9k8STY3YxHKw6He2m2x","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-41","blue-goheimochi","2024/06/26 23:58","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-41.png","qr-feedback-ラーメンを応援します-V-41.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/RDqMxkdBTUE6w6HWFGU7CslieOKaIpaO","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-42","92thunder","2024/06/27 18:16","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-42.png","qr-feedback-ラーメンを応援します-V-42.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/Pief202Nl0nPvrKsAZiyoUtJYKmTzl5s","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-43","suda","2024/06/28 9:14","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-43.png","qr-feedback-ラーメンを応援します-V-43.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/6O9fPywq0qcRiJ4uEZQHTcGVX8atLVX6","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-45","n13u","2024/06/30 12:32","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-45.png","qr-feedback-ラーメンを応援します-V-45.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/C84Jb7V4vxJBqnKGm7WvwiNkOBSizPiN","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-46","uutan1108","2024/06/30 18:24","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-46.png","qr-feedback-ラーメンを応援します-V-46.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/zQPsaxP69xszHDOgJiKl39DmNmys3Rz0","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-47","planset","2024/07/01 10:16","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-47.png","qr-feedback-ラーメンを応援します-V-47.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/3A38tPtIrya8lo0FrSA4fssdS9Jt9wyS","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","イベントの企画、運営、お疲れ様です！
旭川でこのようなイベントが開催されること大変うれしく思います。
参加できたらしたいですが、まだ未定なので応援ということで一口だけですが！ がんばってください＞＜"
"ラーメンを応援します","V-48","dayjournal","2024/07/01 10:40","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-48.png","qr-feedback-ラーメンを応援します-V-48.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/BSIsmiPnW4JQBBplF7Wz3wwxOIiu7hAr","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","echRAMEN 2024 Conference 応援しています！"
"ラーメンを応援します","V-49","DE-TEIU","2024/07/01 12:50","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-49.png","qr-feedback-ラーメンを応援します-V-49.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/lw1LaVIo5MFMzmMtja5n54kPutMvJdUf","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-51","kazuhiro1982","2024/07/01 22:05","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-51.png","qr-feedback-ラーメンを応援します-V-51.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/V5jBwWlxRJJsC17ZJ1TV4WzKGxQlXdtu","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-52","ichigats","2024/07/03 18:46","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-52.png","qr-feedback-ラーメンを応援します-V-52.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/xrppgEJVbPHp4yLwj8ptGbbpSqX9hsdH","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-53","pyama86","2024/07/04 0:47","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-53.png","qr-feedback-ラーメンを応援します-V-53.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/PVOIDB00X98vZWdgvzkzlEbEiJYe7p6u","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","応援してます！開催ありがとうございます！"
"ラーメンを応援します","V-54","pyama86","2024/07/04 0:49","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-54.png","qr-feedback-ラーメンを応援します-V-54.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/9I3MPEJ6kprt7ktyjYnDocpqGOi5hwVy","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","応援してます！開催ありがとうございます！!"
"ラーメンを応援します","V-55","pyama86","2024/07/04 0:50","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-55.png","qr-feedback-ラーメンを応援します-V-55.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/NbXfxMBK7x8jWUOsjZdGePn5G49ymBZE","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","応援してます！開催ありがとうございます！!!"
